Index,Carrier,Year,Service category,Request,Code type,Code,Description of service,Number of requests per code,Approval rate,Initially denied then approved - approval rate,Expedited - Avg response time,Standard - Avg response time,Extenuating circumstances - Avg response time,Expedited - Number of requests,Standard - Number of requests,Extenuating circumstances - Number of requests,Drug name,Drug code,Drug brand names
1,Carrier A,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0784,Ext Amb Infusn Pump Insulin,9,0.89,0,0,25,240,0,0,0,NA,NA,NA
2,Carrier A,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0781,External Ambulatory Infus Pu,6,0,0,0,0,384,0,0,0,NA,NA,NA
3,Carrier A,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,A9279,Monitoring feature/deviceNOC,1,0,0,0,0,432,0,0,0,NA,NA,NA
4,Carrier A,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,E0784,Ext Amb Infusn Pump Insulin,9,0.89,0,0,25,0,0,0,0,NA,NA,NA
5,Carrier A,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,E0781,External Ambulatory Infus Pu,6,0,0,0,0,0,0,0,0,NA,NA,NA
6,Carrier A,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,A9279,Monitoring feature/deviceNOC,1,0,0,0,0,0,0,0,0,NA,NA,NA
7,Carrier B,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,A9276,DISPOSABLE SENSOR FOR CONTINUOUS GLUCOSE MONITOR SYSTEM,30,1,0,39.1,92.8,0.5,0,0,0,NA,NA,NA
8,Carrier B,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,A9274,EXTERNAL AMBULATORY  INSULIN DELIVERY SYSTEM,13,1,0,0,92.3,0,0,0,0,NA,NA,NA
9,Carrier B,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,A9277,EXTERNAL TRANSMITTER  CONTINUOUS GLUCOSE MONITOR,71,0.96,0,64.6,90.1,0.5,0,0,0,NA,NA,NA
10,Carrier B,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,A9278,EXTERNAL RECEIVER  FOR CONTINUOUS GLUCOSE MONITOR SYSTEM,21,0.95,0,0,84.4,0,0,0,0,NA,NA,NA
11,Carrier B,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0784,EXTERNAL AMBULATORY INFUSION PUMP INSULIN,13,0.92,0,0,114.8,0,0,0,0,NA,NA,NA
12,Carrier B,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,K0554,THERAPEUTIC  CONTINUOUS GLUCOSE MONITOR RECEIVER/MONITOR,1,0,0,0,193.7,0,0,0,0,NA,NA,NA
13,Carrier B,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,K0553,CONTINUOUS GLUCOSE MONITOR SYSTEM SUPPLIES,1,0,0,0,193.7,0,0,0,0,NA,NA,NA
14,Carrier B,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,A9276,DISPOSABLE SENSOR FOR CONTINUOUS GLUCOSE MONITOR SYSTEM,30,1,0,39.1,92.8,0.5,0,0,0,NA,NA,NA
15,Carrier B,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,A9274,EXTERNAL AMBULATORY  INSULIN DELIVERY SYSTEM,13,1,0,0,92.3,0,0,0,0,NA,NA,NA
16,Carrier B,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,A9277,EXTERNAL TRANSMITTER  CONTINUOUS GLUCOSE MONITOR,71,0.96,0,64.6,90.1,0.5,0,0,0,NA,NA,NA
17,Carrier B,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,A9278,EXTERNAL RECEIVER  FOR CONTINUOUS GLUCOSE MONITOR SYSTEM,21,0.95,0,0,84.4,0,0,0,0,NA,NA,NA
18,Carrier B,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,E0784,EXTERNAL AMBULATORY INFUSION PUMP INSULIN,13,0.92,0,0,114.8,0,0,0,0,NA,NA,NA
19,Carrier B,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,K0554,THERAPEUTIC  CONTINUOUS GLUCOSE MONITOR RECEIVER/MONITOR,1,0,0,0,193.7,0,0,0,0,NA,NA,NA
20,Carrier B,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,K0553,CONTINUOUS GLUCOSE MONITOR SYSTEM SUPPLIES,1,0,0,0,193.7,0,0,0,0,NA,NA,NA
21,Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,95249,GLUCOSE MONITORING 72 HRS PT PROVIDED EQUIP TRAINING AND RECORDING,11,1,0,0,188.2,0,0,0,0,NA,NA,NA
22,Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A9277,TRANSMITTER EXT INTERSTITIAL CONT GLU MON SYS,8,1,0,0.3,75.4,0,0,0,0,NA,NA,NA
23,Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A4230,INFUS SET INSULIN PUMP NON NEEDLE,449,0.99,0,6.7,199.1,0,0,0,0,NA,NA,NA
24,Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A9274,EXT AMB INSULIN DELIVERY,62,0.98,0,10.5,270.1,0,0,0,0,NA,NA,NA
25,Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A4456,ADHESIVE REMOVER WIPES ANY TYPE EACH,11,0.91,0,7.2,368.8,0,0,0,0,NA,NA,NA
26,Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,95250,GLUCOSE MONITORING 72 HRS MD OR OTH QUAL EQUIP PROV REC/STORAGE GL,29,0.86,0,16.1,429.4,0,0,0,0,NA,NA,NA
27,Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A9276,SENSORINVSV DISP INTRSTL CONT GLU MON SYS 1U=1D,1041,0.85,0,14.7,371.7,0,0,0,0,NA,NA,NA
28,Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,E0607,HOME BLOOD GLUCOSE MONITOR,10,0.8,0,7.3,193.9,0,0,0,0,NA,NA,NA
29,Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,E0784,EXTERN AMBUL INSULIN INFUS PUMP,179,0.78,0,63.9,385.1,0,0,0,0,NA,NA,NA
30,Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,K0553,SUPPLY ALLOWANCE FOR THERAPEUTIC CONTINUOUS GLUCOSE MONITOR (CGM) INCLUDES ALL SUPPLIES AND ACCESSORIES,21,0.67,0,34.3,956.6,0,0,0,0,NA,NA,NA
31,Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,95249,GLUCOSE MONITORING 72 HRS PT PROVIDED EQUIP TRAINING AND RECORDING,11,1,0,0,188.2,0,0,0,0,NA,NA,NA
32,Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A9277,TRANSMITTER EXT INTERSTITIAL CONT GLU MON SYS,8,1,0,0.3,75.4,0,0,0,0,NA,NA,NA
33,Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A6460,SYNTHETIC DRSG <= 16 SQ I,2,1,0,0,0.1,0,0,0,0,NA,NA,NA
34,Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A4221,WEEKLY SUPPLIES DRUG INFUS CATH,2,1,0,0,382.5,0,0,0,0,NA,NA,NA
35,Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A4245,ALCOHOL WIPES PER BOX,1,1,0,0.2,0,0,0,0,0,NA,NA,NA
36,Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A6461,SYNTHETIC DRSG >16<=48 SQ,1,1,0,0,0.1,0,0,0,0,NA,NA,NA
37,Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A9278,RECEIVER MON EXT INTERSTITIAL CONT GLU MON SYS,1,1,0,0,1.5,0,0,0,0,NA,NA,NA
38,Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A4340,INDWELLING CATH SPECIAL,1,1,0,0.1,0,0,0,0,0,NA,NA,NA
39,Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A5120,SKIN BARRIER WIPE OR SWA,1,1,0,0,191.6,0,0,0,0,NA,NA,NA
40,Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A4352,COUDE TIP URINARY CATH,1,1,0,4.4,0,0,0,0,0,NA,NA,NA
41,Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,E0781,INFUS PUMP AMBULATORY,1,0,1,0,1013,0,0,0,0,NA,NA,NA
42,Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,E0784,EXTERN AMBUL INSULIN INFUS PUMP,179,0,0.02,63.9,385.1,0,0,0,0,NA,NA,NA
